date,region,category,channel,sales,cost,profit,quantity,discount
2024-02-05,North,C,online,1219.69,723.43,496.26,7,0.15
2024-02-05,South,A,online,656.02,398.61,257.41,5,0.199
2024-02-05,South,B,online,383.14,234.11,149.03,4,0.187
2024-02-05,South,C,online,1418.25,829.16,589.09,8,0.032
2024-02-05,East,A,offline,1191.99,693.93,498.06,9,0.197
2024-02-05,East,B,offline,670.89,431.53,239.36,7,0.06
2024-02-05,East,C,offline,1245.25,717.97,527.28,7,0.023
2024-02-05,West,A,offline,659.82,376.82,283.0,5,0.121
2024-02-05,West,B,offline,678.72,426.05,252.67,7,0.053
2024-02-05,West,C,offline,1068.52,635.19,433.33,6,0.018
2024-02-12,North,A,offline,927.99,531.64,396.35,7,0.154
2024-02-12,North,B,offline,693.17,436.66,256.51,7,0.11
2024-02-12,North,C,offline,1051.16,623.03,428.13,6,0.177
2024-02-12,South,A,offline,1206.44,712.73,493.71,9,0.117
2024-02-12,South,B,offline,386.64,239.63,147.01,4,0.18
2024-02-12,South,C,offline,1442.12,859.66,582.46,8,0.042
2024-02-12,East,A,online,787.19,476.87,310.32,6,0.177
2024-02-12,East,B,online,607.13,357.71,249.42,6,0.186
2024-02-12,East,C,online,1446.74,857.02,589.72,8,0.176
2024-02-12,West,A,online,678.69,385.35,293.34,5,0.186
2024-02-12,West,B,online,817.64,500.09,317.55,8,0.053
2024-02-12,West,C,online,1412.02,858.86,553.16,8,0.172
2024-02-19,North,A,online,829.59,475.35,354.24,6,0.061
2024-02-19,North,B,online,806.03,484.94,321.09,8,0.039
2024-02-19,North,C,online,1103.8,660.74,443.06,6,0.056
2024-02-19,South,A,online,1085.22,649.82,435.4,8,0.107
2024-02-19,South,B,online,801.54,513.34,288.2,8,
2024-02-19,South,C,online,1624.46,958.35,666.11,9,0.087
2024-02-19,East,A,offline,1217.93,717.99,499.94,9,0.102
2024-02-19,East,B,offline,615.76,367.06,248.7,6,0.142
2024-02-19,East,C,offline,743.18,432.31,310.87,4,0.144
2024-02-19,West,A,offline,1232.21,710.73,521.48,9,0.014
2024-02-19,West,B,offline,708.02,431.24,276.78,7,0.17
2024-02-19,West,C,offline,1444.32,856.59,587.73,8,0.082
2024-02-26,North,A,offline,1099.52,634.97,464.55,8,0.084
2024-02-26,North,B,offline,941.71,583.24,358.47,9,0.123
2024-02-26,North,C,offline,1109.61,642.7,466.91,6,0.057
2024-02-26,South,A,offline,1110.89,650.8,460.09,8,0.093
2024-02-26,South,B,offline,611.62,379.96,231.66,6,0.18
2024-02-26,South,C,offline,1648.33,974.08,674.25,9,0.103
2024-02-26,East,A,online,1239.56,736.48,503.08,9,0.15
2024-02-26,East,B,online,715.91,435.2,280.71,7,0.005
2024-02-26,East,C,online,1106.7,668.18,438.52,6,0.015
2024-02-26,West,A,online,1112.88,636.99,475.89,8,0.139
2024-02-26,West,B,online,612.84,385.45,227.39,6,0.001
2024-02-26,West,C,online,1672.34,974.74,697.6,9,0.085
2024-03-04,North,A,online,1003.7,575.35,428.35,7,0.01
2024-03-04,North,B,online,541.82,321.29,220.53,5,0.16
2024-03-04,North,C,online,1521.05,894.4,626.65,8,0.19
2024-03-04,South,A,online,1552.97,909.85,643.12,11,0.101
2024-03-04,South,B,online,846.53,528.07,318.46,8,0.149
2024-03-04,South,C,online,1491.91,883.96,607.95,8,0.128
2024-03-04,East,A,offline,1408.54,824.96,583.58,10,0.055
2024-03-04,East,B,offline,413.74,251.23,162.51,4,0.064
2024-03-04,East,C,offline,1487.07,883.48,603.59,8,0.139
2024-03-04,West,A,offline,1390.26,818.38,571.88,10,0.109
2024-03-04,West,B,offline,621.73,384.72,237.01,6,0.181
2024-03-04,West,C,offline,1509.36,902.24,607.12,8,0.153
2024-03-11,North,A,offline,9850.0,746.71,521.22,9,0.151
2024-03-11,North,B,offline,983.91,587.76,396.15,9,0.15
2024-03-11,North,C,offline,1530.28,897.77,632.51,8,0.044
2024-03-11,South,A,offline,1268.85,746.24,522.61,9,0.136
2024-03-11,South,B,offline,630.45,392.48,237.97,6,0.026
2024-03-11,South,C,offline,1698.0,1016.24,681.76,9,0.113
2024-03-11,East,A,online,1007.25,573.3,433.95,7,0.092
2024-03-11,East,B,online,531.7,319.23,212.47,5,0.065
2024-03-11,East,C,online,1712.09,1026.98,685.11,9,0.166
2024-03-11,West,A,online,1127.89,653.27,474.62,8,0.108
2024-03-11,West,B,online,959.77,594.7,365.07,9,0.156
2024-03-11,West,C,online,1727.09,1032.91,694.18,9,0.04
2024-03-18,North,A,online,1003.79,582.44,421.35,7,0.134
2024-03-18,North,B,online,751.99,472.43,279.56,7,
2024-03-18,North,C,online,1361.21,813.11,548.1,7,0.023
2024-03-18,South,A,online,1617.82,921.13,696.69,11,0.005
2024-03-18,South,B,online,661.32,413.55,247.77,6,0.079
2024-03-18,South,C,online,1727.66,1041.58,686.08,9,0.125
2024-03-18,East,A,offline,1173.98,688.97,485.01,8,0.12
2024-03-18,East,B,offline,564.55,341.65,222.9,5,0.069
2024-03-18,East,C,offline,1545.59,920.95,624.64,8,0.068
2024-03-18,West,A,offline,1612.12,921.05,691.07,11,0.192
2024-03-18,West,B,offline,885.46,539.3,346.16,8,0.087
2024-03-18,West,C,offline,1957.08,1144.06,813.02,10,0.162
2024-03-25,North,A,offline,1476.26,859.61,616.65,10,0.146
2024-03-25,North,B,offline,678.68,416.08,262.6,6,0.017
2024-03-25,North,C,offline,2155.91,1285.1,870.81,11,0.122
2024-03-25,South,A,offline,1458.07,872.07,586.0,10,0.036
2024-03-25,South,B,offline,676.53,401.36,275.17,6,0.176
2024-03-25,South,C,offline,1960.28,1154.54,805.74,10,0.19
2024-03-25,East,A,online,1190.34,688.89,501.45,8,0.152
2024-03-25,East,B,online,891.99,541.26,350.73,8,0.159
2024-03-25,East,C,online,1367.33,824.22,543.11,7,0.061
2024-03-25,West,A,online,1623.55,948.62,674.93,11,0.085
2024-03-25,West,B,online,879.39,547.62,331.77,8,0.054
2024-03-25,West,C,online,1363.29,809.24,554.05,7,0.024
2024-04-01,North,A,online,1210.49,690.55,519.94,10,0.043
2024-04-01,North,B,online,638.98,399.3,239.68,7,0.105
2024-04-01,North,C,online,1104.02,655.82,448.2,7,0.045
2024-04-01,South,A,online,940.57,561.02,379.55,8,0.055
2024-04-01,South,B,online,812.13,500.92,311.21,9,0.025
2024-04-01,South,C,online,1599.64,961.18,638.46,10,0.115
2024-04-01,East,A,offline,1077.62,620.53,457.09,9,0.01
2024-04-01,East,B,offline,809.11,504.66,304.45,9,0.08
2024-04-01,East,C,offline,965.18,556.61,408.57,6,0.03
2024-04-01,West,A,offline,1192.15,714.82,477.33,10,0.024
2024-04-01,West,B,offline,724.25,448.72,275.53,8,0.045
2024-04-01,West,C,offline,1278.02,758.28,519.74,8,0.172
2024-04-08,North,A,offline,1459.91,859.78,600.13,12,0.122
2024-04-08,North,B,offline,751.75,439.7,312.05,8,0.042
2024-04-08,North,C,offline,1453.97,861.66,592.31,9,0.015
2024-04-08,South,A,offline,976.48,573.58,402.9,8,0.058
2024-04-08,South,B,offline,558.66,342.44,216.22,6,0.091
2024-04-08,South,C,offline,1647.73,976.9,670.83,10,0.125
2024-04-08,East,A,online,1362.73,782.56,580.17,11,0.109
2024-04-08,East,B,online,750.18,458.26,291.92,8,0.014
2024-04-08,East,C,online,1133.84,685.26,448.58,7,0.114
2024-04-08,West,A,online,1085.74,647.78,437.96,9,0.14
2024-04-08,West,B,online,825.6,504.33,321.27,9,0.016
2024-04-08,West,C,online,975.74,575.63,400.11,6,0.05
2024-04-15,North,A,online,1015.4,591.62,423.78,8,0.115
2024-04-15,North,B,online,954.6,576.32,378.28,10,0.054
2024-04-15,North,C,online,1173.33,689.69,483.64,7,0.13
2024-04-15,South,A,online,1607.26,947.56,659.7,13,0.127
2024-04-15,South,B,online,637.88,395.25,242.63,7,0.067
2024-04-15,South,C,online,1675.85,981.43,694.42,10,0.139
2024-04-15,East,A,offline,1139.35,663.64,475.71,9,0.11
2024-04-15,East,B,offline,646.81,394.51,252.3,7,0.194
2024-04-15,East,C,offline,1329.81,803.87,525.94,8,0.132
2024-04-15,West,A,offline,1367.3,790.24,577.06,11,0.072
2024-04-15,West,B,offline,846.17,521.84,324.33,9,0.041
2024-04-15,West,C,offline,1512.49,886.03,626.46,9,0.14
2024-04-22,North,A,offline,1161.23,669.61,491.62,9,0.048
2024-04-22,North,B,offline,573.19,350.61,222.58,6,0.019
2024-04-22,North,C,offline,2047.29,1204.61,842.68,12,0.023
2024-04-22,South,A,offline,1649.94,969.0,680.94,13,0.102
2024-04-22,South,B,offline,584.54,363.45,221.09,6,0.049
2024-04-22,South,C,offline,1518.42,916.98,601.44,9,0.102
2024-04-22,East,A,online,1664.56,955.79,708.77,13,0.158
2024-04-22,East,B,online,683.72,407.44,276.28,7,0.164
2024-04-22,East,C,online,1345.79,806.45,539.34,8,
2024-04-22,West,A,online,1382.1,815.58,566.52,11,0.069
2024-04-22,West,B,online,763.28,464.04,299.24,8,0.064
2024-04-22,West,C,online,1361.75,806.0,555.75,8,0.047
2024-04-29,North,A,online,1661.75,987.34,674.41,13,0.141
2024-04-29,North,B,online,867.75,537.99,329.76,9,0.164
2024-04-29,North,C,online,2067.51,1213.8,853.71,12,0.1
2024-04-29,South,A,online,1565.56,915.84,649.72,12,0.088
2024-04-29,South,B,online,773.66,480.52,293.14,8,0.082
2024-04-29,South,C,online,1709.25,1022.16,687.09,10,0.194
2024-04-29,East,A,offline,1429.25,833.73,595.52,11,0.17
2024-04-29,East,B,offline,983.6,588.71,394.89,10,0.063
2024-04-29,East,C,offline,1905.76,1136.56,769.2,11,0.007
2024-04-29,West,A,offline,1168.32,691.09,477.23,9,0.199
2024-04-29,West,B,offline,869.67,521.03,348.64,9,0.127
2024-04-29,West,C,offline,1893.13,1131.2,761.93,11,0.181
2024-05-06,North,A,offline,1327.23,761.11,566.12,10,0.075
2024-05-06,North,B,offline,593.17,363.71,229.46,6,0.159
2024-05-06,North,C,offline,1386.24,844.2,542.04,8,0.124
2024-05-06,South,A,offline,1463.44,833.33,630.11,11,0.092
2024-05-06,South,B,offline,680.79,407.3,273.49,7,0.161
2024-05-06,South,C,offline,2111.72,1239.35,872.37,12,0.088
2024-05-06,East,A,online,1450.43,848.21,602.22,11,0.085
2024-05-06,East,B,online,704.39,413.0,291.39,7,0.077
2024-05-06,East,C,online,1743.33,1043.5,699.83,10,0.115
2024-05-06,West,A,online,1833.35,1088.57,744.78,14,0.132
2024-05-06,West,B,online,693.21,427.59,265.62,7,0.149
2024-05-06,West,C,online,1407.33,832.98,574.35,8,0.181
2024-05-13,North,A,online,1484.26,862.06,622.2,11,0.07
2024-05-13,North,B,online,908.3,557.45,350.85,9,0.144
2024-05-13,North,C,online,1976.61,1169.42,807.19,11,0.181
2024-05-13,South,A,online,1732.36,1013.22,719.14,13,0.116
2024-05-13,South,B,online,887.07,545.97,341.1,9,0.149
2024-05-13,South,C,online,1591.44,954.84,636.6,9,0.194
2024-05-13,East,A,offline,1756.54,1024.91,731.63,13,0.051
2024-05-13,East,B,offline,1003.12,622.66,380.46,10,0.149
2024-05-13,East,C,offline,1590.76,967.54,623.22,9,0.028
2024-05-13,West,A,offline,2022.1,1177.88,844.22,15,0.196
2024-05-13,West,B,offline,1116.41,670.78,445.63,11,0.158
2024-05-13,West,C,offline,1429.16,846.34,582.82,8,0.135
2024-05-20,North,A,offline,1909.54,1121.6,787.94,14,0.188
2024-05-20,North,B,offline,602.05,360.17,241.88,6,0.177
2024-05-20,North,C,offline,2013.53,1177.31,836.22,11,0.013
2024-05-20,South,A,offline,2058.68,1185.41,873.27,15,0.082
2024-05-20,South,B,offline,732.66,430.96,301.7,7,0.099
2024-05-20,South,C,offline,1649.34,959.17,690.17,9,0.091
2024-05-20,East,A,online,1915.88,1125.3,790.58,14,0.084
2024-05-20,East,B,online,1007.33,621.48,385.85,10,0.02
2024-05-20,East,C,online,1993.25,1199.22,794.03,11,0.007
2024-05-20,West,A,online,1631.58,966.59,664.99,12,0.171
2024-05-20,West,B,online,620.12,375.76,244.36,6,0.196
2024-05-20,West,C,online,1811.31,1068.58,742.73,10,0.024
2024-05-27,North,A,online,2075.11,1216.42,858.69,15,0.128
2024-05-27,North,B,online,915.47,579.76,335.71,9,0.049
2024-05-27,North,C,online,1664.12,973.6,690.52,9,0.153
2024-05-27,South,A,online,1650.18,980.32,669.86,12,0.066
2024-05-27,South,B,online,742.94,429.32,313.62,7,0.172
2024-05-27,South,C,online,1646.74,979.06,667.68,9,0.035
2024-05-27,East,A,offline,1919.49,1116.22,803.27,14,0.158
2024-05-27,East,B,offline,719.87,434.46,285.41,7,0.01
2024-05-27,East,C,offline,2216.43,1322.75,893.68,12,0.095
2024-05-27,West,A,offline,2077.45,1199.81,877.64,15,0.101
2024-05-27,West,B,offline,1124.04,706.57,417.47,11,0.173
2024-05-27,West,C,offline,2029.09,1219.69,809.4,11,0.012
2024-06-03,North,A,offline,1966.83,1155.2,811.63,14,0.098
2024-06-03,North,B,offline,1144.29,697.14,447.15,11,0.122
2024-06-03,North,C,offline,1680.23,1006.97,673.26,9,0.11
2024-06-03,South,A,offline,1849.79,1068.42,781.37,13,0.091
2024-06-03,South,B,offline,934.16,586.73,347.43,9,0.171
2024-06-03,South,C,offline,2263.07,1343.93,919.14,12,0.043
2024-06-03,East,A,online,1959.91,1144.78,815.13,14,0.091
2024-06-03,East,B,online,828.42,513.96,314.46,8,0.133
2024-06-03,East,C,online,2050.72,1238.55,812.17,11,0.013
2024-06-03,West,A,online,2236.04,1301.74,934.3,16,0.148
2024-06-03,West,B,online,1058.02,647.79,410.23,10,0.112
2024-06-03,West,C,online,2049.5,1221.47,828.03,11,0.133
2024-06-10,North,A,online,2303.95,1342.02,961.93,16,0.194
2024-06-10,North,B,online,1067.14,658.11,409.03,10,0.043
2024-06-10,North,C,online,2468.97,1460.75,1008.22,13,0.169
2024-06-10,South,A,online,2013.58,1170.68,842.9,14,0.161
2024-06-10,South,B,online,1199.37,730.9,468.47,11,0.123
2024-06-10,South,C,online,2461.05,1485.37,975.68,13,0.166
2024-06-10,East,A,offline,1847.22,1091.08,756.14,13,0.062
2024-06-10,East,B,offline,838.71,535.71,303.0,8,0.113
2024-06-10,East,C,offline,2084.14,1249.96,834.18,11,0.006
2024-06-10,West,A,offline,2277.84,1332.98,944.86,16,0.068
2024-06-10,West,B,offline,867.33,532.92,334.41,8,0.114
2024-06-10,West,C,offline,1889.8,1122.41,767.39,10,0.124
2024-06-17,North,A,offline,2317.04,1361.78,955.26,16,0.097
2024-06-17,North,B,offline,972.27,607.36,364.91,9,0.023
2024-06-17,North,C,offline,2317.48,1386.51,930.97,12,0.097
2024-06-17,South,A,offline,2307.97,1353.78,954.19,16,0.12
2024-06-17,South,B,offline,755.33,457.78,297.55,7,0.027
2024-06-17,South,C,offline,2125.43,1251.29,874.14,11,0.149
2024-06-17,East,A,online,2030.59,1193.42,837.17,14,0.1
2024-06-17,East,B,online,1211.67,720.14,491.53,11,0.172
2024-06-17,East,C,online,1919.21,1163.6,755.61,10,0.172
2024-06-17,West,A,online,2329.09,1363.21,965.88,16,0.084
2024-06-17,West,B,online,744.1,461.19,282.91,7,0.16
2024-06-17,West,C,online,2533.28,1508.84,1024.44,13,0.018
2024-06-24,North,A,online,2500.5,1467.28,1033.22,17,0.105
2024-06-24,North,B,online,989.33,604.42,384.91,9,0.067
2024-06-24,North,C,online,2166.57,1274.57,892.0,11,0.102
2024-06-24,South,A,online,2652.44,1557.59,1094.85,18,0.164
2024-06-24,South,B,online,1207.91,734.01,473.9,11,0.039
2024-06-24,South,C,online,2570.41,1524.67,1045.74,13,0.035
2024-06-24,East,A,offline,2510.53,1472.25,1038.28,17,0.152
2024-06-24,East,B,offline,1013.89,611.17,402.72,9,0.127
2024-06-24,East,C,offline,2574.57,1523.82,1050.75,13,0.03
2024-06-24,West,A,offline,2065.38,1200.24,865.14,14,0.055
2024-06-24,West,B,offline,775.68,468.16,307.52,7,0.09
2024-06-24,West,C,offline,1982.5,1156.53,825.97,10,
2024-07-01,North,A,offline,1924.6,1120.21,804.39,16,0.093
2024-07-01,North,B,offline,821.67,506.88,314.79,9,0.09
2024-07-01,North,C,offline,2086.07,1229.65,856.42,13,0.095
2024-07-01,South,A,offline,1422.47,828.11,594.36,12,0.18
2024-07-01,South,B,offline,728.57,440.14,288.43,8,0.035
2024-07-01,South,C,offline,1597.51,948.18,649.33,10,0.105
2024-07-01,East,A,online,1434.91,833.49,601.42,12,0.082
2024-07-01,East,B,online,723.92,448.68,275.24,8,0.129
2024-07-01,East,C,online,1423.78,860.35,563.43,9,0.057
2024-07-01,West,A,online,1806.26,1062.19,744.07,15,0.175
2024-07-01,West,B,online,723.31,429.24,294.07,8,0.07
2024-07-01,West,C,online,2247.94,1326.76,921.18,14,0.119
2024-07-08,North,A,online,2071.61,1209.18,862.43,17,0.158
2024-07-08,North,B,online,1015.84,626.5,389.34,11,0.148
2024-07-08,North,C,online,2121.06,1263.13,857.93,13,0.085
2024-07-08,South,A,online,1706.81,989.25,717.56,14,0.043
2024-07-08,South,B,online,1008.49,608.43,400.06,11,0.028
2024-07-08,South,C,online,1644.55,956.3,688.25,10,0.154
2024-07-08,East,A,offline,1972.27,1127.67,844.6,16,0.067
2024-07-08,East,B,offline,902.55,556.88,345.67,10,0.032
2024-07-08,East,C,offline,2293.92,1364.85,929.07,14,0.033
2024-07-08,West,A,offline,1708.74,1004.14,704.6,14,0.048
2024-07-08,West,B,offline,816.97,511.98,304.99,9,0.09
2024-07-08,West,C,offline,1949.3,1171.18,778.12,12,0.094
2024-07-15,North,A,offline,2113.18,1249.18,864.0,17,0.197
2024-07-15,North,B,offline,832.42,510.49,321.93,9,0.105
2024-07-15,North,C,offline,2504.98,1488.85,1016.13,15,0.028
2024-07-15,South,A,offline,1750.26,1028.92,721.34,14,0.111
2024-07-15,South,B,offline,668.07,410.34,257.73,7,0.057
2024-07-15,South,C,offline,2317.07,1393.31,923.76,14,0.029
2024-07-15,East,A,online,1887.09,1082.05,805.04,15,0.09
2024-07-15,East,B,online,822.22,500.64,321.58,9,0.1
2024-07-15,East,C,online,1847.47,1081.44,766.03,11,0.006
2024-07-15,West,A,online,2132.03,1240.27,891.76,17,0.158
2024-07-15,West,B,online,739.17,466.82,272.35,8,0.139
2024-07-15,West,C,online,1669.76,985.0,684.76,10,0.001
2024-07-22,North,A,online,1767.16,1046.59,720.57,14,0.11
2024-07-22,North,B,online,1048.23,628.24,419.99,11,0.058
2024-07-22,North,C,online,2012.68,1203.36,809.32,12,0.159
2024-07-22,South,A,online,2015.2,1196.77,818.43,16,0.119
2024-07-22,South,B,online,666.96,399.47,267.49,7,0.029
2024-07-22,South,C,online,2035.36,1197.99,837.37,12,0.083
2024-07-22,East,A,offline,2141.12,1272.89,868.23,17,0.014
2024-07-22,East,B,offline,952.22,596.38,355.84,10,0.111
2024-07-22,East,C,offline,2029.57,1209.84,819.73,12,0.196
2024-07-22,West,A,offline,1884.5,1119.23,765.27,15,0.069
2024-07-22,West,B,offline,1052.25,648.05,404.2,11,0.147
2024-07-22,West,C,offline,2012.54,1207.15,805.39,12,0.163
2024-07-29,North,A,offline,1949.63,1129.71,819.92,15,0.139
2024-07-29,North,B,offline,1078.61,638.43,440.18,11,0.155
2024-07-29,North,C,offline,2231.74,1316.31,915.43,13,0.04
2024-07-29,South,A,offline,1826.57,1055.85,770.72,14,0.198
2024-07-29,South,B,offline,959.36,599.91,359.45,10,0.038
2024-07-29,South,C,offline,2078.93,1238.67,840.26,12,0.066
2024-07-29,East,A,online,1803.95,1067.07,736.88,14,0.149
2024-07-29,East,B,online,1158.54,724.98,433.56,12,0.099
2024-07-29,East,C,online,2256.97,1330.58,926.39,13,0.16
2024-07-29,West,A,online,2180.08,1284.61,895.47,17,0.164
2024-07-29,West,B,online,962.08,579.71,382.37,10,0.132
2024-07-29,West,C,online,2071.8,1225.48,846.32,12,0.138
2024-08-05,North,A,online,2086.31,1238.79,847.52,16,0.071
2024-08-05,North,B,online,1273.48,798.15,475.33,13,0.19
2024-08-05,North,C,online,1934.73,1141.38,793.35,11,0.16
2024-08-05,South,A,online,2385.8,1370.44,1015.36,18,0.122
2024-08-05,South,B,online,1165.24,710.48,454.76,12,0.156
2024-08-05,South,C,online,2275.31,1355.77,919.54,13,0.121
2024-08-05,East,A,offline,2385.65,1377.31,1008.34,18,0.153
2024-08-05,East,B,offline,987.72,599.83,387.89,10,0.13
2024-08-05,East,C,offline,2089.15,1256.69,832.46,12,0.1
2024-08-05,West,A,offline,2107.08,1220.55,886.53,16,0.052
2024-08-05,West,B,offline,1006.39,596.45,409.94,10,0.183
2024-08-05,West,C,offline,2264.91,1364.33,900.58,13,0.09
2024-08-12,North,A,offline,2540.88,1471.1,1069.78,19,0.136
2024-08-12,North,B,offline,1197.4,731.58,465.82,12,0.013
2024-08-12,North,C,offline,2514.11,1494.0,1020.11,14,0.142
2024-08-12,South,A,offline,2682.43,1570.35,1112.08,20,0.102
2024-08-12,South,B,offline,791.12,479.94,311.18,8,0.158
2024-08-12,South,C,offline,2143.7,1267.61,876.09,12,0.161
2024-08-12,East,A,online,2413.71,1392.97,1020.74,18,0.062
2024-08-12,East,B,online,1313.75,798.27,515.48,13,0.154
2024-08-12,East,C,online,2838.33,1709.56,1128.77,16,0.128
2024-08-12,West,A,online,2282.59,1322.64,959.95,17,0.176
2024-08-12,West,B,online,1210.21,726.61,483.6,12,0.193
2024-08-12,West,C,online,2514.89,1470.12,1044.77,14,0.025
2024-08-19,North,A,online,2165.05,1265.45,899.6,16,0.142
2024-08-19,North,B,online,1038.79,635.89,402.9,10,0.169
2024-08-19,North,C,online,2365.4,1402.78,962.62,13,0.025
2024-08-19,South,A,online,2315.95,1350.27,965.68,17,0.034
2024-08-19,South,B,online,1313.67,816.01,497.66,13,0.144
2024-08-19,South,C,online,2736.78,1618.74,1118.04,15,0.165
2024-08-19,East,A,offline,2160.28,1275.01,885.27,16,
2024-08-19,East,B,offline,1133.95,683.94,450.01,11,0.128
2024-08-19,East,C,offline,2546.63,1502.73,1043.9,14,0.191
2024-08-19,West,A,offline,2462.96,1435.17,1027.79,18,0.059
2024-08-19,West,B,offline,799.32,497.42,301.9,8,0.097
2024-08-19,West,C,offline,2364.27,1395.63,968.64,13,0.144
2024-08-26,North,A,offline,2783.66,1629.65,1154.01,20,0.026
2024-08-26,North,B,offline,1040.93,629.19,411.74,10,0.093
2024-08-26,North,C,offline,2574.53,1522.52,1052.01,14,0.058
2024-08-26,South,A,offline,2496.92,1446.29,1050.63,18,0.173
2024-08-26,South,B,offline,927.71,573.48,354.23,9,0.063
2024-08-26,South,C,offline,2953.78,1754.29,1199.49,16,0.1
2024-08-26,East,A,online,2473.23,1467.2,1006.03,18,0.101
2024-08-26,East,B,online,1338.61,820.59,518.02,13,0.01
2024-08-26,East,C,online,2784.52,1648.86,1135.66,15,0.094
2024-08-26,West,A,online,2644.66,1532.54,1112.12,19,0.176
2024-08-26,West,B,online,1256.71,757.52,499.19,12,0.08
2024-08-26,West,C,online,2757.02,1645.83,1111.19,15,0.015
2024-09-02,North,A,online,2685.19,1553.58,1131.61,19,0.198
2024-09-02,North,B,online,1251.68,788.48,463.2,12,0.079
2024-09-02,North,C,online,3184.33,1907.69,1276.64,17,0.151
2024-09-02,South,A,online,2534.21,1478.08,1056.13,18,0.009
2024-09-02,South,B,online,943.51,579.89,363.62,9,0.091
2024-09-02,South,C,online,3003.7,1777.92,1225.78,16,0.123
2024-09-02,East,A,offline,2553.47,1485.26,1068.21,18,0.06
2024-09-02,East,B,offline,1068.9,646.16,422.74,10,0.142
2024-09-02,East,C,offline,2640.32,1556.24,1084.08,14,0.135
